id,nombre,latitud,longitud
0252D,ARENYS DE MAR,413515,23224
0076,BARCELONA AEROPUERTO,411734,20412
0200E,"BARCELONA, FABRA",412506,20727
0201D,BARCELONA,412326,21200
0149X,MANRESA,414312,15025
0229I,SABADELL AEROPUERTO,413125,20611
0255B,SANTA SUSANNA,413903,24149
0367,GIRONA AEROPUERTO,415442,24548
0370B,"GIRONA, ANTIC INSTITUT",415848,24931
0372C,PORQUERES,420616,24549
0324A,RIPOLL,421129,21146
0016A,REUS AEROPUERTO,410842,10949
0002I,VANDELLÒS  ,405729,5217
1387E,A CORUÑA AEROPUERTO,431825,-82219
1387,A CORUÑA,432157,-82517
1393,CABO VILÁN,430938,-91239
1351,ESTACA DE BARES,434710,-74106
1400,FISTERRA,425529,-91729
1437O,MONTE IROITE,424314,-85524
1473A,PADRÓN,424418,-83738
1428,SANTIAGO DE COMPOSTELA AEROPUERTO,425317,-82438
1475X,SANTIAGO DE COMPOSTELA,425234,-83321
1212E,ASTURIAS AEROPUERTO,433401,-60239
1283U,CABO BUSTO,433409,-62812
1210X,CABO PEÑAS,433921,-55055
1331A,CASTROPOL,433129,-70153
1207U,"GIJÓN, CAMPUS",433123,-53716
1208A,GIJÓN. LA MERCED,433230,-53943
1208H,"GIJÓN, PUERTO",433336,-54203
1208,GIJÓN,433220,-53815
1183X,LLANES,432513,-44453
1249I,OVIEDO,432112,-55227
1249X,OVIEDO,432112,-55227
1221D,PAJARES-VALGRANDE,425843,-54635
1542,PUERTO DE LEITARIEGOS,425939,-62451
1082,BILBAO AEROPUERTO,431753,-25423
1078I,GÜEÑES,431212,-30617
1055B,LEKEITIO,432237,-23037
1057B,MATXITXAKO,432714,-24510
1059X,PUNTA GALEA,432230,-30118
1083L,CASTRO URDIALES,432341,-31402
1159,SAN VICENTE DE LA BARQUERA,432336,-42332
1109,SANTANDER AEROPUERTO,432526,-34932
1110,"SANTANDER, CIUDAD",432754,-34908
1111X,SANTANDER,432928,-34802
1111,SANTANDER,432928,-34802
1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,432125,-14732
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",431823,-20228
1050J,ELGOIBAR,431234,-22448
1014,"HONDARRIBIA, MALKARROA",432125,-14732
1041A,ZUMAIA,431808,-21504
1037Y,ZUMARRAGA,430448,-21903
1549,PONFERRADA,423350,-63600
1505,LUGO AEROPUERTO,430641,-72727
1002Y,"BAZTAN, IRURITA ",430809,-13235
1631E,A POBRA DE TRIVES,422022,-71657
1700X,O CARBALLIÑO,422517,-80533
1690B,"OURENSE,INSTITUTO",421956,-75152
1690A,OURENSE,421931,-75135
1735X,XINZO DE LIMIA,420445,-74401
1484,"PONTEVEDRA, INSTITUTO",422550,-83850
1484C,PONTEVEDRA,422618,-83657
1495,VIGO AEROPUERTO,421419,-83726
2444C,"ÁVILA, AYUNTAMIENTO",403924,-44201
2444,ÁVILA,403933,-44047
2811A,NAVARREDONDA DE GREDOS,402102,-50835
2117D,ARANDA DE DUERO,413957,-34434
2331,BURGOS AEROPUERTO,422125,-33717
2298,PALACIOS DE LA SIERRA,415735,-30754
2737E,LAGUNAS DE SOMOZA,422239,-61148
2661B,LEÓN AEROPUERTO,423558,-53837
2661,"LEÓN, VIRGEN DEL CAMINO",423518,-53904
2630X,PUERTO DE SAN ISIDRO,430344,-52237
2462,PUERTO DE NAVACERRADA,404735,-40038
2400E,AUTILLA DEL PINO,415944,-43610
2374X,CARRIÓN DE LOS CONDES,422103,-43702
2235U,CERVERA DE PISUERGA,425214,-43112
2401,"PALENCIA, OBSERVATORIO",420018,-43145
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",402118,-54124
2946X,SAELICES EL CHICO,403806,-63600
2867,SALAMANCA AEROPUERTO,405734,-52954
2870,SALAMANCA,405727,-53944
2916A,VITIGUDINO,410041,-62616
2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",411131,-32831
2465A,"SEGOVIA, INSTITUTO",405648,-40657
2465,SEGOVIA,405643,-40735
2030,SORIA,414630,-22859
2503X,OLMEDO,411933,-44113
2539,VALLADOLID AEROPUERTO,414243,-45120
2422,VALLADOLID,413827,-44516
2755X,BENAVENTE,420039,-54000
2775X,VILLARDECIERVOS,415629,-61647
2614,ZAMORA,413056,-54407
3391,SOTILLO DE LA ADRADA,401719,-43527
3469,"CÁCERES, CIUDAD",392833,-62235
3469A,CÁCERES,392817,-62020
3526X,CORIA,400013,-63327
3434X,NAVALMORAL DE LA MATA,395645,-53457
3519X,PLASENCIA,400235,-60509
3463X,TRUJILLO,392857,-55115
3576X,VALENCIA DE ALCÁNTARA,392453,-71352
3044X,CAÑIZARES,403149,-20900
3094B,TARANCÓN,400041,-30117
3168C,"GUADALAJARA, EL SERRANILLO",403933,-31024
3168A,"GUADALAJARA, INSTITUTO",403805,-31000
3168D,GUADALAJARA,403749,-30900
3013,MOLINA DE ARAGÓN,405030,-15244
3130C,SIGÜENZA,410511,-23705
3100B,ARANJUEZ,400402,-33246
3110C,BUITRAGO DEL LOZOYA,410025,-33649
3191E,COLMENAR VIEJO,404146,-34554
3200,GETAFE,401758,-34320
3129,MADRID AEROPUERTO,402800,-33320
3194U,"MADRID, CIUDAD UNIVERSITARIA",402706,-34327
3196,"MADRID, CUATRO VIENTOS",402232,-34710
3195,"MADRID, RETIRO",402443,-34041
3266A,PUERTO ALTO DEL LEÓN,404223,-40831
3338,ROBLEDO DE CHAVELA,402540,-41500
3111D,SOMOSIERRA,410808,-33449
3175,TORREJÓN DE ARDOZ,402919,-32637
3298X,SAN PABLO DE LOS MONTES,393249,-42102
3365A,TALAVERA DE LA REINA,395731,-45149
3259,"TOLEDO, LORENZANA",395134,-40132
3260B,TOLEDO,395305,-40243
4452,BADAJOZ AEROPUERTO,385300,-64850
4358X,DON BENITO,385720,-55250
4244X,HERRERA DEL DUQUE,391010,-50344
4511C,JEREZ DE LOS CABALLEROS,381755,-64554
4386B,LLERENA,381354,-60101
4410X,MÉRIDA,385457,-62308
4121C,"CIUDAD REAL, INSTITUTO",385916,-35545
4121,CIUDAD REAL,385921,-35513
4220X,PUEBLA DE DON RODRIGO,390501,-43719
4103X,TOMELLOSO,391009,-30027
4147X,VALDEPEÑAS,384502,-32329
4148,VISO DEL MARQUÉS,383105,-33400
4267X,HINOJOSA DEL DUQUE,382955,-50716
4090Y,SAN CLEMENTE,392500,-22514
4560Y,ALAJAR,375207,-64030
4549Y,AYAMONTE,371141,-72342
4642E,"HUELVA, RONDA ESTE",371642,-65442
4605,HUELVA,371524,-65659
4067,MADRIDEJOS,392931,-33142
4061X,QUINTANAR DE LA ORDEN,393550,-30254
5973,CÁDIZ,362959,-61528
5911A,GRAZALEMA,364538,-52227
5960,JEREZ DE LA FRONTERA AEROPUERTO,364502,-60321
5910,"ROTA, BASE NAVAL",363820,-61957
5972X,SAN FERNANDO,362756,-61220
5995B,VEJER DE LA FRONTERA,361444,-55754
5000A,"CEUTA, MONTE HACHO",355344,-51732
5000C,CEUTA,355319,-52049
5402,CÓRDOBA AEROPUERTO,375056,-45048
5427X,DOÑA MENCÍA,373322,-42114
5390Y,VILLANUEVA DE CÓRDOBA,381959,-43632
5047E,BAZA,373021,-24406
5530E,GRANADA AEROPUERTO,371125,-34723
5514,GRANADA BASE AÉREA,370814,-33753
5051X,HUÉSCAR,375140,-23910
5582A,LOJA,370940,-40910
5860E,"MOGUER, EL ARENOSILLO",370553,-64417
5298X,ANDÚJAR,380123,-40348
5181D,ARROYO DEL OJANCO,381853,-25323
5038X,CAZORLA,375457,-30014
5270,"JAÉN, INSTITUTO",374635,-34720
5270B,JAÉN,374639,-34833
5246,SANTA ELENA,382040,-33207
5192,VILLARRODRIGO,382921,-23815
5704B,CAZALLA DE LA SIERRA,375535,-54611
5641X,ÉCIJA,373058,-50506
5612B,LA RODA DE ANDALUCÍA,371140,-44612
5796,MORÓN DE LA FRONTERA,370952,-53641
5783,SEVILLA AEROPUERTO,372500,-55245
6302A,ABLA,370829,-24648
6277B,ADRA,364450,-30114
6381,ALBORÁN,355618,-30210
6325O,ALMERÍA AEROPUERTO,365047,-22125
6297,ALMERÍA,364952,-22720
6332X,CARBONERAS,365849,-15413
6367B,HUÉRCAL-OVERA,372326,-15637
6293X,ROQUETAS DE MAR,364113,-24206
6001,TARIFA,360050,-53556
6268X,MOTRIL,364322,-33149
6106X,ANTEQUERA,370146,-44454
6058I,ESTEPONA,362501,-50918
6084X,FUENGIROLA,363219,-43706
6155A,MÁLAGA AEROPUERTO,363958,-42856
6156X,"MÁLAGA, CENTRO METEOROLÓGICO",364304,-42854
